Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB78,Male,WIN,72,9,1,3,0,2,2,0,1,0,0,29.7,296,1737,34,30.8,238.8,2606,1531.6
ALB111,Male,WIN,72,23,5,3,3,3,5,0,2,2,0,12.05,153,660.1,17,49.2,260.7,2847,1527.3
ALB112,Male,WIN,72,21,6,4,0,0,7,1,2,1,0,4,83,377.1,6,90.3,211.8,2393,1584.2
ALB121,Male,WIN,72,8,2,0,0,1,4,0,0,1,0,12.3,202,665.4,21,49.3,160.8,1851,1626.9
ALB122,Male,WIN,72,21.5,1.5,5.5,0.5,6.5,5.5,0,1.5,0.5,0,30.9,545,1714.9,53,73.4,223.6,2645,1545.5
ALB136,Male,WIN,72,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,72,,,,,,,,,,,,,,,,,,
ALB140,Male,WIN,72,,,,,,,,,,,,,,,,,,
ALB141,Male,WIN,72,,,,,,,,,,,,,,,,,,
ALB152,Male,WIN,72,20,11,4,1,0,2,0,1,1,0,17.9,254,990.2,23,42.8,272.7,3120,1509.4
ALB69,Male,WIN,96,29,2,2,0,0,23,1,0,1,0,28.75,409,1616.73,51,49.3,245.1,2782,1526.2
ALB71,Male,WIN,96,12,3,0,0,0,8,1,0,0,0,8.95,143,626.27,19,56.1,240.3,2678,1550.8
ALB77,Male,WIN,96,18,15,0.5,2,0,0,0,0,0.5,0,6.35,91,451.7,5,31,215,2333,1578.7
ALB78,Male,WIN,96,17.5,4,1,0.5,3,8.5,0.5,0,0,0,20.1,197,1179.6,22,28.1,225.7,2441,1554.3
